content;chart data
source;MeasurementChart_1
machine no.;265995
program;Uni Kassel
filename;Uni Kassel_MeasurementChart_1__2024_06_05__15_51_36.txt
time;2024_06_05__15_51_36
data complete;yes
-header-
signals;4
plotting points;498
delay;0.00
sampling rate;0.0300
-column description-
s;bar;bar;cm³;cm³/s
time;Einspritzdruck, Soll;Einspritzdruck, Ist;Schneckenvolumen, Ist;Einspritzstrom, Ist
;p3001S;p3001I;V3001I;Q3001I
-start data-
13.5300;0;-1;119.8;0.00
13.5600;0;0;119.8;0.00
13.5900;0;-1;119.8;0.00
13.6200;0;-1;119.8;0.00
13.6500;0;-2;119.8;0.00
13.6800;0;-4;119.8;0.00
13.7100;0;-4;119.8;0.00
13.7400;0;-4;119.8;0.00
13.7700;0;-4;119.8;0.00
13.8000;0;-4;119.8;0.00
13.8300;0;-4;119.8;0.00
13.8600;0;-3;119.8;0.00
13.8900;0;-3;119.8;0.00
13.9200;0;-3;119.8;0.00
13.9500;0;-2;119.8;0.00
13.9800;0;-4;119.8;0.00
14.0100;0;-4;119.8;0.00
14.0400;0;-5;119.8;0.00
14.0700;0;-7;119.8;0.00
14.1000;0;-8;119.8;0.00
14.1300;0;-8;119.8;0.00
14.1600;0;-7;119.8;0.00
14.1900;0;-6;119.8;0.00
14.2200;0;-7;119.8;0.00
14.2500;0;-9;119.8;0.00
14.2800;0;-10;119.8;0.00
14.3100;0;-11;119.8;0.00
14.3400;0;-10;119.8;0.00
14.3700;0;-11;119.8;0.00
14.4000;0;-11;119.8;0.00
14.4300;0;-13;119.8;0.00
14.4600;0;-11;119.8;0.00
14.4900;0;-11;119.8;0.00
14.5200;0;-11;119.8;0.00
14.5500;0;-11;119.8;0.00
14.5800;0;-12;119.8;0.00
14.6100;0;-11;119.8;0.00
14.6400;0;-12;119.8;0.00
14.6700;0;-11;119.8;0.00
14.7000;0;-11;119.8;0.00
14.7300;0;-11;119.8;0.00
14.7600;0;-11;119.8;0.00
14.7900;0;-12;119.8;0.00
14.8200;0;-12;119.8;0.00
14.8500;0;-13;119.8;0.00
14.8800;0;-13;119.8;0.00
14.9100;0;-12;119.8;0.00
